item_id,cve_id,kernel_version,sysctl_mitigation_present,service_relevant,exploitability_narrative,cis_or_advisory_reference
scenario_01,CVE-2015-7205,5.15.0-91-generic,no,none,"Firefox 42 falls inside the vulnerable range (before 43.0). Exploitation requires the browser to process a maliciously crafted RTP packet -- realistically delivered via a WebRTC video/audio call or a malicious webpage that initiates one. No sysctl setting mitigates a client-side application memory bug like this, so the absence of a mitigation here is expected, not a gap. Verdict: exploitable via a client-side attack vector (malicious call peer or compromised webpage); impact per the advisory is information disclosure or denial of service, not confirmed remote code execution.",http://lists.fedoraproject.org/pipermail/package-announce/2015-December/174083.html
scenario_02,CVE-2014-5077,3.15.6-generic,no,none,"Kernel 3.15.6 falls inside the vulnerable range (through 3.15.8). Exploitation requires SCTP authentication to be enabled on the host -- not a default setting, but common on systems handling SS7/Diameter-adjacent signaling or VoIP infrastructure where SCTP is the standard transport. If enabled, a remote attacker only needs to begin establishing an SCTP association to trigger the NULL pointer dereference. Neither tracked sysctl setting affects SCTP association handling, so 'no mitigation' is accurate here. Verdict: exploitable denial-of-service (kernel panic) if SCTP authentication is in use; no privilege escalation or data exposure.",http://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commit%3Bh=1be9a950c646c9092fb3618197f7b6bfb50e82aa
scenario_03,CVE-2016-5392,5.15.0-91-generic,no,kube-apiserver,"Kubernetes 3.2.0 (OpenShift Enterprise 3.2) falls inside the affected version. This is an authorization-layer bug, not an OS-level one, so sysctl hardening is irrelevant to it -- the absence of a mitigation reflects a mismatched control category, not a missing safeguard. Exploitation requires an authenticated user in a multi-tenant cluster who already knows another project's name. Verdict: exploitable information disclosure, but limited to authenticated insiders in a multi-tenant setup -- not reachable by an unauthenticated external attacker.",http://www.securityfocus.com/bid/91793
scenario_04,CVE-2022-3294,5.15.0-91-generic,no,kube-apiserver,"Kubernetes 1.24.7 falls inside the confirmed affected range (kube-apiserver <=1.24.7 per the official Kubernetes security advisory). The real-world risk here is heavily gated by a precondition the CVSS vector already reflects (PR:H, AC:H): an attacker must already hold RBAC permissions to modify Node objects, which is not a typical low-privilege grant. Verdict: exploitable only in clusters where RBAC is already misconfigured to grant Node-modification rights too broadly; in a properly scoped RBAC setup this vulnerability has effectively no reachable attack surface.",https://github.com/kubernetes/kubernetes/issues/113757
scenario_05,CVE-2019-15137,5.15.0-91-generic,no,none,"fast-rtps 1.9.0 falls inside the vulnerable range (through 1.9.0). This is a DDS (Data Distribution Service) application-layer permission-bypass bug, not something sysctl hardening addresses. Any remote participant able to reach the same DDS domain can craft a topic name that exploits the fnmatch pattern-matching flaw to bypass partition permission checks. Verdict: exploitable by any network-reachable DDS participant, resulting in unintended cross-participant connections within a supposedly access-controlled DDS partition -- relevant to O-RAN and industrial control-plane deployments that rely on DDS.",https://arxiv.org/abs/1908.05310
scenario_06,CVE-2018-5522,5.15.0-91-generic,no,none,"BIG-IP 13.0.0 is named as an affected version. This is a proprietary appliance's own TMM (Traffic Management Microkernel) process, so standard Linux sysctl settings do not apply to it at all -- the 'no mitigation' framing doesn't really fit this scenario and is more of a not-applicable than a genuine gap. Exploitation requires an attacker to send a Diameter transaction with carefully crafted attribute-value pairs; the CVSS AC:H reflects the precision needed to construct a crashing payload. Verdict: exploitable denial-of-service against the Diameter signaling gateway function -- directly relevant to telecom signaling infrastructure, since this is literally a Diameter routing appliance.",http://www.securityfocus.com/bid/104384
scenario_07,CVE-2020-8559,5.15.0-91-generic,no,kube-apiserver,"Kubernetes 1.15.0 falls inside the affected range (v1.6-v1.15). The CVSS vector (AC:H/PR:H/UI:R) signals this is not a standalone remote-compromise bug -- it requires the attacker to have already compromised a node and get a privileged user to interact with a malicious proxied request. Verdict: exploitable as one step in a privilege-escalation chain following an initial node compromise, not as an independent attack vector. Its real risk is in lateral movement/escalation after an attacker already has a foothold, which is worth noting explicitly rather than treating it as a first-stage threat.",https://github.com/kubernetes/kubernetes/issues/92914
scenario_08,CVE-2016-7075,5.15.0-91-generic,no,kube-apiserver,"Kubernetes 1.5.0 falls inside the corrected vulnerable range (fixed at 1.5.5 per the Debian security tracker). This is an X.509 certificate-validation bug in the API server's authentication logic, not something sysctl hardening touches. An attacker crafts a specially forged intermediate certificate to bypass hostname validation entirely. Verdict: exploitable authentication bypass that undermines mTLS-based cluster authentication -- serious because it defeats the primary identity-verification mechanism the cluster relies on, not just a peripheral feature.",https://access.redhat.com/errata/RHSA-2016:2064
scenario_09,CVE-2024-31948,5.15.0-91-generic,no,frr,"FRR 9.1 falls inside the vulnerable range (through 9.1). This is a BGP message-parsing bug in a userspace routing daemon, unrelated to sysctl-level hardening. Any BGP peer able to send an UPDATE message to this router -- a legitimate peering partner, or an attacker positioned on that session -- can trigger the crash with a malformed Prefix SID attribute. Verdict: exploitable denial-of-service that crashes the bgpd process; in a live telecom/ISP core network, repeated crash-and-restart cycles could cause route flapping and instability across the wider autonomous system, not just the one router.",https://github.com/FRRouting/frr/pull/15628
scenario_10,CVE-2023-25173,5.15.0-91-generic,no,containerd,"containerd 1.6.17 falls inside the vulnerable range (fixed at 1.6.18/1.5.18). This is a container-runtime bug in group-setup logic, not something sysctl hardening addresses. Critically, the CVSS vector (AV:L) reflects that exploitation requires the attacker to already have direct access to a running container -- this is not an initial-access vulnerability. Verdict: exploitable privilege/access escalation from within an already-compromised or intentionally malicious container, allowing access to host resources tied to an unintended supplementary group. Real-world risk is entirely contingent on an attacker already having landed inside a container by some other means.",https://github.com/advisories/GHSA-4wjj-jwc9-2x96
